,Unnamed: 0,id,classify_3,brand,model,buyer,number,price,seller,date,time,total_price,year
1,4,3921675,GPU并行运算服务器中、低档,inspur浪潮,NF8460M4,中华人民共和国上海海事局,2,72522.0,上海汇策电子系统集成有限公司,2016-04-28,14:54:53,145044.0,2016
5,8,3918578,机架式服务器高档,Lenovo systemX,System x3850X6,中华人民共和国上海海事局,3,111034.0,上海汇策电子系统集成有限公司,2016-04-27,15:03:29,333102.0,2016
15,21,3724837,虚拟化,浪潮,Inspur VMware vSphere 5企业增强版,中华人民共和国上海海事局,12,25000.0,上海汇策电子系统集成有限公司,2016-07-21,14:18:18,300000.0,2016
16,22,3724837,虚拟化,浪潮,Inspur VMware vSphere 5企业增强版,中华人民共和国上海海事局,16,23000.0,上海汇策电子系统集成有限公司,2016-07-21,14:15:17,368000.0,2016
17,24,3724836,虚拟化,浪潮,Inspur VMware vSphere 5企业版,中国水产科学研究院东海水产研究所,2,24007.5,上海汇策电子系统集成有限公司,2016-07-26,12:51:15,48015.0,2016
20,31,3917893,机架式服务器中、低档,Lenovo（联想）,ThinkServer RD650,中国水产科学研究院东海水产研究所,1,25022.0,上海汇策电子系统集成有限公司,2016-07-26,12:47:41,25022.0,2016
53,71,3917189,磁盘阵列中档,惠普,HP StoreServ 7200C,上海国际旅行卫生保健中心,1,355860.0,上海汇策电子系统集成有限公司,2016-04-21,10:50:10,355860.0,2016
58,76,3917173,机架式服务器高档,惠普,DL580 Gen9,上海国际旅行卫生保健中心,4,194561.0,上海汇策电子系统集成有限公司,2016-04-21,15:29:55,778244.0,2016
72,90,3917175,机架式服务器中、低档,惠普,DL360 Gen9,中国银行业监督管理委员会常州监管分局,1,25030.0,上海汇策电子系统集成有限公司,2016-06-14,12:10:30,25030.0,2016
73,91,3917174,机架式服务器中、低档,惠普,DL380 Gen9,交通运输部东海救助局,2,28203.0,上海汇策电子系统集成有限公司,2016-07-12,17:05:48,56406.0,2016
80,98,3918576,塔式服务器低档,Lenovo systemX,System x3100M5,中国极地研究中心,1,12762.0,上海汇策电子系统集成有限公司,2016-05-23,15:58:57,12762.0,2016
83,101,3917169,塔式服务器中档,惠普,ML150 Gen9,中国科学院上海天文台,1,19737.0,上海汇策电子系统集成有限公司,2016-07-19,12:04:29,19737.0,2016
